goos: linux
goarch: amd64
pkg: github.com/x-dvr/go_experiments/sync
cpu: Intel(R) Core(TM) i7-10870H CPU @ 2.20GHz
BenchmarkSeq-16                   	      12	 268825248 ns/op	     120 B/op	       3 allocs/op
BenchmarkSeq-16                   	      13	 266226424 ns/op	     121 B/op	       3 allocs/op
BenchmarkSeq-16                   	      13	 268148975 ns/op	     120 B/op	       3 allocs/op
BenchmarkSeq-16                   	      13	 266908226 ns/op	     120 B/op	       3 allocs/op
BenchmarkSeq-16                   	      13	 267620720 ns/op	     120 B/op	       3 allocs/op
BenchmarkSeq-16                   	      13	 268070655 ns/op	     120 B/op	       3 allocs/op
BenchmarkChan-16                  	      21	 158836974 ns/op	65537320 B/op	    1010 allocs/op
BenchmarkChan-16                  	      21	 159839113 ns/op	65536640 B/op	    1009 allocs/op
BenchmarkChan-16                  	      22	 159844818 ns/op	65536592 B/op	    1009 allocs/op
BenchmarkChan-16                  	      21	 160101080 ns/op	65536593 B/op	    1009 allocs/op
BenchmarkChan-16                  	      21	 160355748 ns/op	65536652 B/op	    1009 allocs/op
BenchmarkChan-16                  	      21	 160810246 ns/op	65536628 B/op	    1009 allocs/op
BenchmarkPoolChan-16              	      22	 153066921 ns/op	   18433 B/op	       9 allocs/op
BenchmarkPoolChan-16              	      22	 150999507 ns/op	   18433 B/op	       9 allocs/op
BenchmarkPoolChan-16              	      22	 152601568 ns/op	   15445 B/op	       8 allocs/op
BenchmarkPoolChan-16              	      24	 151341744 ns/op	   14237 B/op	       8 allocs/op
BenchmarkPoolChan-16              	      22	 150275933 ns/op	   18454 B/op	       9 allocs/op
BenchmarkPoolChan-16              	      22	 154583308 ns/op	   15445 B/op	       8 allocs/op
BenchmarkCond-16                  	      22	 149500280 ns/op	     805 B/op	       8 allocs/op
BenchmarkCond-16                  	      22	 152770827 ns/op	     511 B/op	       8 allocs/op
BenchmarkCond-16                  	      20	 153079668 ns/op	     552 B/op	       8 allocs/op
BenchmarkCond-16                  	      22	 152317423 ns/op	     512 B/op	       8 allocs/op
BenchmarkCond-16                  	      24	 152803930 ns/op	     360 B/op	       8 allocs/op
